8/27/2025
12:47:23 PM



Time	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13
0.000000	-10.581197	-10.581197	-10.581197	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580566	-10.580566	-10.580882	-10.581197	-10.580882	-10.580882	-2747.175008	-2757.910136	-2748.929367	-2750.979794	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580566	-10.580566	-10.580882	-10.581197	-10.580882	-10.580882
0.020000	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.581512	-10.581197	-10.580566	-10.580882	-10.581197	-10.580882	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.164068	-2761.507724	-2777.303043	-2778.148651	-10.581197	-10.580566	-10.580882	-10.581197	-10.580882	-10.580882
0.040000	-10.580882	-10.580882	-10.580882	-10.580882	-10.581512	-10.581197	-10.581197	-10.580882	-10.580566	-10.580882	-10.580566	-10.580882	-10.581197	-10.580882	-2747.097063	-2757.831842	-2748.851328	-2750.901695	-2759.242634	-2761.586119	-2777.303043	-2777.990665	-10.580566	-10.580882	-10.580566	-10.580882	-10.581197	-10.580882
0.060000	-10.581197	-10.580882	-10.580566	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-2747.175008	-2757.831842	-2748.773052	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882
0.080000	-10.581197	-10.580882	-10.580566	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.581197	-10.580566	-10.580882	-10.580882	-10.581197	-2747.175008	-2757.831842	-2748.773052	-2750.901695	-2759.085739	-2761.507724	-2777.303043	-2777.990665	-10.580882	-10.581197	-10.580566	-10.580882	-10.580882	-10.581197
0.100000	-10.580566	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197	-10.580882	-10.580882	-2747.018882	-2757.831842	-2748.929367	-2750.901695	-2759.085739	-2761.507724	-2777.303043	-2777.990665	-10.580882	-10.580882	-10.581197	-10.581197	-10.580882	-10.580882
0.120000	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.581197	-10.581197	-10.580882	-10.581197	-10.581197	-10.580882	-2747.097063	-2757.831842	-2748.929367	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2778.069538	-10.581197	-10.581197	-10.580882	-10.581197	-10.581197	-10.580882
0.140000	-10.581197	-10.581197	-10.581197	-10.581197	-10.580882	-10.580882	-10.581197	-10.580882	-10.580566	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197	-2747.175008	-2757.910136	-2748.929367	-2750.979794	-2759.085739	-2761.507724	-2777.303043	-2777.990665	-10.580566	-10.581197	-10.580882	-10.580882	-10.580882	-10.581197
0.160000	-10.580882	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.831842	-2748.929367	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.581197	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882
0.180000	-10.580882	-10.581197	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-2747.097063	-2757.910136	-2748.851328	-2750.901695	-2759.085739	-2761.507724	-2777.224194	-2777.990665	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882	-10.580882
